name	admix.pop	latitude	longitude	ploidy_man_curated
TE_8.8-2	TE8	68.86441	77.6911	2
TE_8.7-1	TE8	68.86441	77.6911	2
TE_8.6-1	TE8	68.86441	77.6911	2
TE_8.4-1	TE8	68.86441	77.6911	2
TE_8mix-2	TE8	68.86441	77.6911	2
TE_8.9-1	TE8	68.86441	77.6911	2
TE_8.3-2	TE8	68.86441	77.6911	2
TE_8mix-1	TE8	68.86441	77.6911	2
TE_8.5-2	TE8	68.86441	77.6911	2
TE_8.1-2	TE8	68.86441	77.6911	2
TE_8.10-1	TE8	68.86441	77.6911	2
TE_8.4-2	TE8	68.86441	77.6911	2
TE_8.1-1	TE8	68.86441	77.6911	2
TE_10.3-1	TE10	68.91428	77.66211	2
TE_10.4-2	TE10	68.91428	77.66211	2
TE_10.3-2	TE10	68.91428	77.66211	2
TE_10.8-1	TE10	68.91428	77.66211	2
TE_10.7-1	TE10	68.91428	77.66211	2
TE_10.5-1	TE10	68.91428	77.66211	2
TE_10.6-1	TE10	68.91428	77.66211	2
TE_10.6-2	TE10	68.91428	77.66211	2
TE_10.9-1	TE10	68.91428	77.66211	2
TE_10.8-2	TE10	68.91428	77.66211	2
TE_10.1-1	TE10	68.91428	77.66211	2
TE_10.2-2	TE10	68.91428	77.66211	2
TE_10.2-1	TE10	68.91428	77.66211	2
TE_10.9-2	TE10	68.91428	77.66211	2
TE_10.1-2	TE10	68.91428	77.66211	2
TE_10.7-2	TE10	68.91428	77.66211	2
TE_10.4-1	TE10	68.91428	77.66211	2
TE_10.5-2	TE10	68.91428	77.66211	2
TE_9.1-1	TE9	68.91428	77.66211	2
TE_9.1-2	TE9	68.91428	77.66211	2
TE_11.3-1	TE11	68.94298	77.75131	2
TE_11.4-2	TE11	68.94298	77.75131	2
TE_11.3-2	TE11	68.94298	77.75131	2
TE_11.1-1	TE11	68.94298	77.75131	2
TE_11.5-1	TE11	68.94298	77.75131	2
TE_11.4-1	TE11	68.94298	77.75131	2
TE_11.1-2	TE11	68.94298	77.75131	2
TE_11.2-1	TE11	68.94298	77.75131	2
TE_11.2-2	TE11	68.94298	77.75131	2
TE_11.5-2	TE11	68.94298	77.75131	2
TE_11.9-2	TE11	68.94298	77.75131	2
TE_11.7-2	TE11	68.94298	77.75131	2
TE_11.7-1	TE11	68.94298	77.75131	2
TE_11.8-1	TE11	68.94298	77.75131	2
TE_11.10-1	TE11	68.94298	77.75131	2
TE_11.9-1	TE11	68.94298	77.75131	2
TE_11.6-1	TE11	68.94298	77.75131	2
TE_11.10-2	TE11	68.94298	77.75131	2
TE_11.8-2	TE11	68.94298	77.75131	2
TE_11.6-2	TE11	68.94298	77.75131	2
al4_1_4n	al	69.13	94.04	4
al3_1_4n	al	69.13	94.04	4
al1_1_4n	al	69.13	94.04	4
al2_1_4n	al	69.13	94.04	4
MW0079467_1	MW0079467_1	69.474793	166.61	2
MW0079466	MW0079466	69.474793	166.586866	2
MW0079456	MW0079456	69.631288	168.432929	selfer
NT12_1_1	NT12	69.90925	125.1049	2
NT12_2_1	NT12	69.90925	125.1049	2
MW0079608_3	MW0079608_3	70.064679	83.231126	2
MW0079570	MW0079570	70.5459	105.905	selfer
MW0079486_3	MW0079486_3	70.686846	127.354681	2
MW0079537_3	MW0079537	70.820742	129.638221	2
MW0079537	MW0079537	70.820742	129.638221	2
MW0079564_2	MW0079564	70.861044	89.897527	2
MW0079564	MW0079564	70.861044	89.897527	2
SRR2040804	SRR2040804	71.04	127.52	2
NT13_9_1	NT13	71.04445	127.53303	2
NT4.1	NT4	71.06107	127.56112	2
NT4_3_1	NT4	71.06107	127.56112	2
NT4_2_1	NT4	71.06107	127.56112	2
MW0374095_4n	MW0374095_4n	71.1367605	54.0211487	4
MW0374101_4n	MW0374101_4n	71.1367605	54.0211487	4
MW0157478_2_4n	MW0157478_4n	71.25438	105.5609	4
MW0157478_4n	MW0157478_4n	71.25438	105.5609	4
MW0079577_2_4n	MW0079577_2_4n	71.2573333	103.335425	4
MW0079546_4n	MW0079546	71.3093764	124.1757202	4
MW0079546_2_4n	MW0079546	71.3093764	124.1757202	4
NT17.1-5	NT17	71.31612	129.44675	2
NT17.1-1	NT17	71.31612	129.44675	2
NT17.1-4	NT17	71.31612	129.44675	2
NT17.4-2	NT17	71.31612	129.44675	2
NT17.4-4	NT17	71.31612	129.44675	2
NT17.4-3	NT17	71.31612	129.44675	2
NT17.4-1	NT17	71.31612	129.44675	2
NT17.1-2	NT17	71.31612	129.44675	2
NT17.5-1	NT17	71.31612	129.44675	2
MW0158708_4n	MW0158708_4n	71.32261	-179.9066	4
MW0079561_8	MW0079561_8	71.431966	89.220123	2
MW0079561_9	MW0079561_8	71.431966	89.220123	2
MW0079559	MW0079559	71.445855	89.213257	2
MW0079560	MW0079560	71.445855	89.213257	2
NT18-4	NT18	71.50507	129.28337	2
NT18-2	NT18	71.50507	129.28337	2
NT18-1	NT18	71.50507	129.28337	2
NT18-3	NT18	71.50507	129.28337	2
NT18-6	NT18	71.50507	129.28337	2
NT15_5_1	NT15	71.56023	128.76028	2
NT15_2_1	NT15	71.56023	128.76028	2
NT15_3_1	NT15	71.56023	128.76028	2
NT15_4_1	NT15	71.56023	128.76028	2
NT15_1_1	NT15	71.56023	128.76028	2
NT14_3_1	NT14	71.59676	129.16077	2
NT14_5_1	NT14	71.59676	129.16077	2
NT14_1_1	NT14	71.59676	129.16077	2
NT14_6_1	NT14	71.59676	129.16077	2
NT14_7_1	NT14	71.59676	129.16077	2
NT14_10_1	NT14	71.59676	129.16077	2
NT14_11_1	NT14	71.59676	129.16077	2
NT14_4_1	NT14	71.59676	129.16077	2
NT14_8_1	NT14	71.59676	129.16077	2
NT9_5_1	NT9	71.62518	128.86804	2
NT9_3_1	NT9	71.62518	128.86804	2
NT9_1_1	NT9	71.62518	128.86804	2
NT9_4_1	NT9	71.62518	128.86804	2
NT9_2_1	NT9	71.62518	128.86804	2
MW0079568-4_1_4n	MW0079568-4_1_4n	71.64702	108.2709	4
MW0079568-3_1_4n	MW0079568-3_1_4n	71.6524	108.317	4
MW0079569-2_1_4n	MW0079569-2_1_4n	71.66347	108.2369	4
MW0079568-1_1_4n	MW0079568-1_1_4n	71.67179	108.2023	4
NT10_1_1	NT10	71.80696	127.46523	2
NT10_3_1	NT10	71.80696	127.46523	2
NT10_2_1	NT10	71.80696	127.46523	2
MW0157476_2	MW0157476_2	71.88334	103.8291	2
NT5_2_1	NT5	71.9924	127.01465	2
NT5_3_1	NT5	71.9924	127.01465	2
NT5_1_1	NT5	71.9924	127.01465	2
NT2_4_1	NT2	71.99619	129.12575	2
NT2_3_1	NT2	71.99619	129.12575	2
NT2_1_1	NT2	71.99619	129.12575	2
NT2_5_1	NT2	71.99619	129.12575	2
NT2_2_1	NT2	71.99619	129.12575	2
MW0079538	MW0079538	72.0034007	129.1133881	2
MW0374084_2_4n	MW0374084_4n	72.2719304	52.4677849	4
MW0374084_4n	MW0374084_4n	72.2719304	52.4677849	4
MW0158707	MW0158707	72.30339	103.1866	2
MW0079591	MW0079591	72.348909	72.087915	2
NT19.1-6	NT19	72.35875	127.65138	2
NT19.1-4	NT19	72.35875	127.65138	2
NT19.1-5	NT19	72.35875	127.65138	2
NT19.1-3	NT19	72.35875	127.65138	2
NT19.1-1	NT19	72.35875	127.65138	2
NT19.3-3	NT19	72.35875	127.65138	2
NT19.2-2	NT19	72.35875	127.65138	2
NT19.3-1	NT19	72.35875	127.65138	2
NT19.1-2	NT19	72.35875	127.65138	2
NT19.2-1	NT19	72.35875	127.65138	2
NT19.3-2	NT19	72.35875	127.65138	2
MW0158706	MW0158706	72.38404	103.9105	2
MW0079494_2	MW0079494_2	72.3956019	126.6601753	2
MW0079544_4n	MW0079544_4n	72.4044258	126.8563843	4
IRKU049804	IRKU049804	72.5	105.17	2
IRKU049802	IRKU049804	72.5	105.17	unsure
MW0079545	MW0079545	72.5472921	127.2223663	2
MW0079500	MW0079500	72.9040995	78.9319611	2
MW0079500_2	MW0079500	72.9040995	78.9319611	2
NT16.5-4	NT16	72.91466	126.32345	2
NT16.3-7	NT16	72.91466	126.32345	2
NT16.4-1	NT16	72.91466	126.32345	2
NT16.1-5	NT16	72.91466	126.32345	2
NT16.5-1	NT16	72.91466	126.32345	2
NT16.2-2	NT16	72.91466	126.32345	2
NT16.1-2	NT16	72.91466	126.32345	2
NT16.4-3	NT16	72.91466	126.32345	2
NT16.5-2	NT16	72.91466	126.32345	2
NT16.4-2	NT16	72.91466	126.32345	2
NT16.5-3	NT16	72.91466	126.32345	2
NT16.3-1	NT16	72.91466	126.32345	2
NT16.4-4	NT16	72.91466	126.32345	2
NT16.1-1	NT16	72.91466	126.32345	2
NT16.3-6	NT16	72.91466	126.32345	2
NT16.3-5	NT16	72.91466	126.32345	2
NT16.1-4	NT16	72.91466	126.32345	2
NT16.2-1	NT16	72.91466	126.32345	2
MW0079553_5	MW0079553	72.96641	78.933523	2
MW0079497_4	MW0079553	72.96641	78.933523	2
MW0079553_7	MW0079553	72.96641	78.933523	2
MW0079497	MW0079553	72.96641	78.933523	2
